Country Code in order of priority (descending),ID Type  in order of priority (descending),Regex
AT,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
BE,NIDN,^\d{6}\d{3}\d{2}$
BE,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
BG,NIDN,^\d{6}\d{2}\d{1}\d{1}$
BG,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
CY,CCPT,^E\d{6}$
CY,CCPT,^K\d{8}$
CY,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
CZ,NIDN,^\d{6}\d{3}$
CZ,NIDN,^\d{6}\d{3}\d{1}$
CZ,CCPT,"^\d{8,}$"
CZ,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
DE,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
DK,NIDN,^\d{6}\d{4}$
DK,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
EE,NIDN,^\d{1}\d{6}\d{3}\d{1}$
ES,NIDN,^\d{8}[A-Z]{1}[^IÑOU]$
ES,NIDN,^L\d{7}[A-Z]{1}[^IÑOU]$
ES,NIDN,^K\d{7}[A-Z]{1}[^IÑOU]$
FI,NIDN,^\d{6}[+\-A]\d{3}\d{1}$
FI,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
FR,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
GB,NIDN,^(?!OO|CR|FY|NW|NC|PP|PZ|TN)(?![A-Z]*[DFIQUV])[A-Z]{2}\d{6}(?!O)[A-Z]$
GB,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
GR,NIDN,^\d{10}$
GR,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
HR,NIDN,^\d{10}\d{1}$
HR,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
HU,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
IE,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
IS,NIDN,^\d{6}\d{4}$
IT,NIDN,^[A-Z]{3}[A-Z]{3}[A-Z0-9]{5}[A-Z0-9]{4}[A-Z0-9]{1}$
LI,CCPT,^[A-Z]{1}\d{5}$
LI,NIDN,^[A-Z]{2}\d{8}$
LI,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
LT,NIDN,^\d{1}\d{6}\d{3}\d{1}$
LT,CCPT,^\d{8}$
LT,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
LU,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
LV,NIDN,^\d{6}\d{1}\d{4}$
LV,NIDN,^\d{11}$
LV,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
MT,NIDN,^\d{7}[A-Z]{1}$
MT,CCPT,^\d{7}$
MT,CCPT,^[A-Z]{2}\d{6}$
NL,CCPT,^[A-Z]{2}[^O][A-Z0-9]{6}[^O]\d{1}$
NL,NIDN,^[A-Z]{2}[^O][A-Z0-9]{6}[^O]\d{1}$
NL,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
NO,NIDN,^\d{6}\d{5}$
NO,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
PL,NIDN,^\d{11}$
PL,NIDN,^\d{10}$
PT,NIDN,^\d{8}\d{1}$
PT,CCPT,^[A-Z]{1}\d{6}$
PT,CCPT,^[A-Z]{2}\d{6}$
PT,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
RO,NIDN,^\d{1}\d{6}\d{2}\d{3}\d{1}$
RO,CCPT,^\d{9}$
RO,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
SE,NIDN,^\d{8}\d{3}\d{1}$
SE,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
SI,NIDN,^\d{7}\d{2}\d{3}\d{1}$
SI,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
SK,NIDN,^\d{6}\d{3}\d{1}$
SK,CCPT,^[A-Z]{2}\d{7}$
SK,CONCAT,^[A-Z]{2}\d{8}[A-Z#]{5}[A-Z#]{5}$
,LEI,^[A-Z0-9]{18}\d{2}
